nullsmokedPerDay0,smokedPerDay1,smokedPerDay2,smokedPerDay3,smokedPerDay4,smokedPerDay5,smokedPerDay6,smokedPerDay7,smokedPerDay8,smokedPerDay9,smokedPerDay10,smokedPerDay11,smokedPerDay12
13,13,64,64,63,28,28,28,28,64,64,64,64
12,12,45,66,66,12,25,25,54,45,45,45,45
0,0,35,35,35,0,0,35,35,35,35,35,35
12,12,12,12,61,12,12,44,44,44,70,13,70
12,12,42,12,53,12,12,37,37,37,37,37,42
12,12,65,12,12,12,12,38,38,38,65,65,65
11,11,12,12,12,11,11,35,53,50,50,50,12
0,0,54,54,66,0,25,62,54,54,11,11,54
13,13,55,55,66,13,47,47,63,63,11,11,55
11,11,12,58,53,11,30,30,30,30,70,12,12
12,12,13,66,66,12,12,12,12,11,11,11,59
13,13,11,11,64,13,13,13,44,13,13,12,12
13,13,64,13,65,13,13,13,47,47,64,64,64
12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,11,62,62,12,58,12,45,45,56,56,61
0,13,59,66,56,13,13,43,43,44,62,69,53
14,14,69,69,67,14,14,14,14,14,70,70,70
11,20,12,11,11,20,20,38,52,52,52,52,12
0,23,61,61,61,23,34,42,65,65,65,65,54
0,0,12,12,68,0,0,0,0,0,12,12,12
0,0,12,12,60,20,23,23,12,12,63,12,12
12,12,69,69,63,12,20,28,28,54,54,12,54
0,0,65,65,65,0,45,45,49,12,62,62,13
12,12,70,68,65,12,12,12,12,12,60,60,70
0,0,65,65,57,25,27,34,34,67,67,67,56
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,13,65,65,25,33,48,48,12,59,13,13
0,13,19,19,19,13,19,19,19,19,19,19,19
13,13,13,13,13,13,13,13,13,13,13,13,13
0,34,12,12,12,34,49,49,60,60,60,66,12
0,0,12,12,12,25,25,25,58,58,67,67,67
12,12,12,12,65,17,17,38,38,11,12,12,69
13,13,13,13,13,13,13,13,13,13,13,13,13
12,12,12,65,65,18,18,18,18,18,65,65,67
0,18,53,13,13,18,18,18,53,53,53,53,53
11,11,57,59,59,11,33,33,33,57,57,57,57
0,16,53,12,12,21,21,21,51,11,40,41,53
13,13,47,64,64,13,13,13,13,13,13,13,47
0,0,22,22,22,0,22,22,22,22,22,22,22
12,12,42,61,61,36,39,39,39,39,39,39,39
12,12,64,65,66,16,16,16,69,69,53,64,64
0,0,12,12,12,0,0,30,30,30,70,12,63
11,11,44,44,44,21,21,44,44,44,44,44,44
0,0,12,12,12,17,24,24,24,24,12,12,12
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,70,70,61,15,15,15,12,65,65,12,70
13,13,68,12,63,13,24,24,48,68,68,68,68
0,0,62,62,62,21,23,23,12,53,12,12,62
12,12,16,17,17,16,17,17,17,17,17,17,16
12,12,34,34,62,12,12,12,12,12,12,34,34
12,12,47,47,47,12,12,22,22,22,22,47,47
0,0,13,13,58,0,28,28,11,11,68,68,44
13,13,12,12,12,13,32,32,59,59,59,12,12
12,12,49,49,52,12,28,28,50,53,53,53,51
13,13,58,58,58,13,23,23,23,23,23,23,23
11,11,49,12,56,11,36,36,49,49,49,49,49
10,10,66,12,62,10,24,46,62,62,66,66,66
15,15,62,13,13,15,15,30,30,30,67,53,62
0,12,12,12,12,12,27,27,50,13,66,66,43
0,16,12,11,12,16,16,16,16,16,12,12,12
0,0,63,12,12,20,20,20,20,59,59,68,63
14,14,62,62,61,14,14,42,59,62,62,62,62
0,0,55,55,67,0,0,0,52,47,12,13,55
13,13,13,13,59,27,27,27,13,13,13,13,13
12,12,12,65,58,12,12,12,12,12,12,12,12
12,12,13,13,13,29,29,29,29,62,12,13,13
12,17,56,56,56,17,20,20,62,48,56,56,56
11,11,62,62,51,27,27,27,27,27,27,27,38
12,12,12,12,63,12,12,12,12,60,60,12,12
15,15,15,15,15,15,15,15,15,15,15,15,15
12,12,48,48,48,12,48,48,48,48,48,48,48
11,11,12,66,66,11,11,30,30,30,12,12,12
0,25,25,13,13,25,25,25,25,25,25,25,25
12,12,53,12,12,12,12,39,39,47,47,56,53
12,12,45,45,12,23,27,54,11,60,67,67,45
0,18,12,12,50,18,30,44,64,12,63,12,65
12,12,65,65,59,18,22,22,22,53,53,53,65
11,13,31,31,31,13,35,35,35,35,69,12,31
0,0,66,66,67,0,21,44,58,13,13,13,66
12,12,49,49,11,12,12,39,39,39,39,39,49
0,0,23,23,23,0,23,23,23,23,23,23,23
0,13,13,64,62,13,22,22,51,51,67,67,60
0,0,12,70,70,0,26,51,51,55,55,12,12
0,0,12,63,60,32,32,32,65,65,64,13,12
12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,64,64,53,16,16,22,22,12,12,13,12
0,0,12,70,56,18,18,18,54,54,68,12,12
12,35,12,12,11,35,35,35,35,35,12,12,12
12,12,12,12,62,31,31,51,51,12,65,12,12
0,0,62,67,67,21,27,43,57,57,65,12,62
0,0,54,12,12,0,0,25,57,57,68,68,54
0,0,67,58,68,62,22,25,25,25,56,12,12
0,16,53,12,58,48,50,58,57,57,57,12,53
12,15,12,12,63,23,23,23,38,38,12,13,13
0,16,52,12,57,16,16,16,16,16,68,68,52
13,13,30,30,65,30,30,30,30,30,30,30,30
0,0,69,69,69,18,18,35,35,55,69,69,69
12,12,12,12,12,12,16,16,61,61,61,12,12
13,13,30,30,30,13,21,32,32,30,30,30,30
0,14,12,66,66,14,28,28,28,28,65,65,57
0,0,12,12,60,21,29,38,38,38,38,12,12
12,12,62,62,69,12,12,23,48,48,12,12,62
0,0,41,41,41,27,27,27,41,41,41,41,41
11,11,12,12,12,11,24,24,50,59,67,12,58
12,12,12,12,12,12,32,32,57,12,65,65,65
0,0,12,12,59,0,29,29,29,29,29,65,65
0,13,12,12,12,13,13,13,13,13,12,12,12
12,12,62,62,62,12,48,48,48,48,63,63,62
12,12,11,12,12,43,43,43,62,62,62,62,55
0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,12,12,12,13,30,30,30,30,30,30,12
12,12,12,61,62,33,33,33,68,68,66,66,56
13,13,45,58,58,13,13,27,45,45,45,45,45
12,12,12,12,12,12,12,12,12,12,12,12,12
11,11,57,57,69,11,12,13,13,13,13,13,13
0,0,12,54,12,0,33,36,36,62,62,12,51
11,18,12,13,57,18,18,18,18,11,11,12,12
0,12,63,12,12,12,12,37,37,63,63,63,63
12,12,53,68,57,12,50,63,11,11,11,63,13
12,12,12,67,67,53,53,67,12,12,12,12,12
0,0,67,65,64,20,20,31,56,56,62,62,60
0,18,12,12,11,18,21,21,52,56,56,12,12
0,15,67,67,67,17,17,17,17,17,17,67,67
12,12,69,69,69,12,12,31,11,11,11,11,11
0,0,12,12,12,0,31,61,61,55,55,55,58
12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,70,12,18,18,18,18,12,12,12,55
11,11,17,17,17,11,11,11,11,11,17,17,17
0,17,11,65,12,20,20,20,20,20,58,12,12
12,12,12,12,60,12,12,34,37,54,54,12,12
12,12,60,12,12,12,12,40,40,40,62,62,60
0,0,56,12,12,0,27,27,27,12,12,12,12
12,12,59,59,59,12,29,55,55,55,55,55,59
0,20,52,52,60,20,23,23,45,57,57,11,52
11,11,13,66,65,18,21,31,31,12,12,12,12
0,0,54,54,54,0,0,0,0,0,43,54,54
13,22,68,57,57,22,28,28,28,28,59,59,42
12,12,12,69,67,12,12,12,12,12,65,12,65
0,0,61,66,66,27,27,27,27,27,38,38,61
0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,20,20,20,20,20,20,20,20,20,20,20
0,0,13,12,65,22,22,22,22,22,22,12,12
0,0,12,66,63,18,35,35,53,12,48,11,11
12,12,64,64,64,12,12,12,12,12,60,60,60
12,12,11,11,11,12,25,25,64,64,63,11,11
0,0,67,10,65,0,0,17,48,48,48,48,67
0,0,12,52,52,19,19,19,52,52,68,11,51
0,0,69,60,60,0,33,39,57,57,57,57,57
0,0,38,11,62,27,27,27,36,36,36,38,38
11,11,70,66,66,28,28,28,28,12,70,70,70
0,28,12,12,12,28,28,28,12,12,12,12,12
11,11,53,64,63,11,22,22,53,53,53,53,53
0,44,12,12,61,37,37,54,11,11,60,12,12
0,20,13,69,12,20,20,62,62,12,12,68,68
13,13,25,12,55,13,25,25,25,25,25,25,25
